ID,Date,Start Time,End Time,Duration
69,17-12-16,14:00,17:00,3:00
70,17-12-18,19:00,21:30,2:30
71,17-12-12,9:00,12:00,3:00
72,17-12-18,9:00,12:00,3:00
73,17-12-14,9:00,11:30,2:30
74,17-12-20,9:00,12:00,3:00
75,17-12-13,14:00,16:00,2:00
76,17-12-16,19:00,22:00,3:00
77,17-12-07,9:00,12:00,3:00
78,17-12-09,19:00,21:30,2:30
79,17-12-08,9:00,11:30,2:30
80,17-12-12,9:00,12:00,3:00
81,17-12-19,19:00,22:00,3:00
82,17-12-10,14:00,16:30,2:30
83,17-12-19,14:00,17:00,3:00
84,17-12-20,9:00,11:00,2:00
85,17-12-15,14:00,16:00,2:00
86,17-12-08,19:00,22:00,3:00
87,17-12-16,19:00,21:00,2:00
88,17-12-10,14:00,16:00,2:00
89,17-12-12,14:00,16:00,2:00
90,17-12-13,14:00,17:00,3:00
91,17-12-11,14:00,17:00,3:00
92,17-12-20,14:00,17:00,3:00
93,17-12-15,14:00,17:00,3:00
94,17-12-18,9:00,12:00,3:00
95,17-12-14,14:00,17:00,3:00
96,17-12-12,9:00,12:00,3:00
97,17-12-14,14:00,16:00,2:00
98,17-12-07,14:00,17:00,3:00
99,17-12-19,19:00,22:00,3:00
100,17-12-09,9:00,12:00,3:00
101,17-12-08,19:00,22:00,3:00
102,17-12-07,19:00,22:00,3:00
103,17-12-13,14:00,16:00,2:00
104,17-12-19,9:00,11:00,2:00
105,17-12-15,14:00,17:00,3:00
106,17-12-09,19:00,21:00,2:00
107,17-12-20,9:00,12:00,3:00
108,17-12-08,14:00,16:00,2:00
109,17-12-09,19:00,21:00,2:00
110,17-12-11,14:00,17:00,3:00
111,17-12-18,9:00,12:00,3:00
112,17-12-12,9:00,11:30,2:30
113,17-12-15,14:00,17:00,3:00
114,17-12-19,19:00,21:00,2:00
115,17-12-19,19:00,21:00,2:00
116,17-12-07,14:00,16:00,2:00
117,17-12-08,19:00,21:00,2:00
118,17-12-15,19:00,21:00,2:00
119,17-12-14,9:00,12:00,3:00
120,17-12-18,14:00,17:00,3:00
121,17-12-20,9:00,12:00,3:00
122,17-12-19,19:00,21:00,2:00
123,17-12-16,9:00,11:00,2:00
124,17-12-08,14:00,16:00,2:00
125,17-12-12,9:00,11:00,2:00
126,17-12-16,19:00,21:00,2:00
127,17-12-08,19:00,21:00,2:00
128,17-12-13,9:00,11:00,2:00
129,17-12-12,9:00,11:00,2:00
130,17-12-09,14:00,16:00,2:00
131,17-12-08,14:00,16:00,2:00
132,17-12-19,14:00,16:00,2:00
133,17-12-11,14:00,16:00,2:00
134,17-12-12,14:00,16:00,2:00
135,17-12-19,19:00,21:00,2:00
136,17-12-09,19:00,21:00,2:00
137,17-12-15,9:00,11:00,2:00
138,17-12-19,14:00,16:00,2:00
139,17-12-18,9:00,12:00,3:00
140,17-12-16,9:00,11:00,2:00
141,17-12-18,14:00,16:00,2:00
142,17-12-08,14:00,16:00,2:00
143,17-12-09,9:00,12:00,3:00
144,17-12-20,9:00,11:00,2:00
145,17-12-14,9:00,12:00,3:00
146,17-12-12,19:00,22:00,3:00
147,17-12-14,14:00,17:00,3:00
148,17-12-14,14:00,17:00,3:00
149,17-12-10,14:00,16:00,2:00
150,17-12-19,14:00,16:00,2:00
151,17-12-11,9:00,11:00,2:00
152,17-12-08,9:00,11:00,2:00
153,17-12-18,19:00,22:00,3:00
154,17-12-14,9:00,12:00,3:00
155,17-12-16,19:00,21:00,2:00
156,17-12-09,9:00,11:30,2:30
157,17-12-20,14:00,16:00,2:00
158,17-12-11,9:00,11:00,2:00
159,17-12-18,14:00,16:00,2:00
160,17-12-18,19:00,22:00,3:00
161,17-12-19,19:00,21:00,2:00
162,17-12-14,9:00,12:00,3:00
163,17-12-18,14:00,17:00,3:00
164,17-12-14,9:00,11:00,2:00
165,17-12-12,14:00,16:00,2:00
166,17-12-07,14:00,17:00,3:00
167,17-12-11,14:00,16:00,2:00
168,17-12-20,9:00,12:00,3:00
169,17-12-20,9:00,12:00,3:00
170,17-12-16,19:00,21:00,2:00
171,17-12-16,19:00,21:00,2:00
172,17-12-13,14:00,16:30,2:30
173,17-12-09,9:00,11:00,2:00
174,17-12-09,19:00,22:00,3:00
175,17-12-18,14:00,17:00,3:00
176,17-12-15,9:00,12:00,3:00
177,17-12-14,19:00,21:50,2:50
178,17-12-14,19:00,22:00,3:00
179,17-12-13,19:00,21:50,2:50
180,17-12-16,14:00,17:00,3:00
181,17-12-07,19:00,22:00,3:00
182,17-12-15,9:00,12:00,3:00
183,17-12-18,14:00,17:00,3:00
184,17-12-19,19:00,21:50,2:50
185,17-12-07,14:00,16:50,2:50
186,17-12-09,9:00,12:00,3:00
187,17-12-18,19:00,22:00,3:00
188,17-12-15,14:00,16:30,2:30
189,17-12-20,9:00,12:00,3:00
190,17-12-14,19:00,22:00,3:00
191,17-12-20,14:00,16:00,2:00
192,17-12-16,14:00,16:00,2:00
193,17-12-08,14:00,16:00,2:00
194,17-12-07,14:00,17:00,3:00
195,17-12-14,9:00,12:00,3:00
196,17-12-15,14:00,16:00,2:00
197,17-12-12,9:00,11:00,2:00
198,17-12-11,9:00,12:00,3:00
199,17-12-15,9:00,11:00,2:00
200,17-12-12,14:00,16:00,2:00
201,17-12-11,19:00,21:00,2:00
202,17-12-16,9:00,11:00,2:00
203,17-12-11,19:00,21:00,2:00
204,17-12-16,14:00,17:00,3:00
205,17-12-16,14:00,17:00,3:00
206,17-12-11,19:00,21:00,2:00
207,17-12-19,14:00,17:00,3:00
208,17-12-09,19:00,22:00,3:00
209,17-12-12,14:00,17:00,3:00
210,17-12-09,19:00,22:00,3:00
211,17-12-11,9:00,11:30,2:30
212,17-12-08,9:00,12:00,3:00
213,17-12-11,9:00,11:00,2:00
214,17-12-14,14:00,16:30,2:30
215,17-12-14,14:00,17:00,3:00
216,17-12-14,14:00,16:30,2:30
217,17-12-14,14:00,17:00,3:00
218,17-12-14,14:00,16:30,2:30
219,17-12-09,14:00,16:30,2:30
220,17-12-08,9:00,11:00,2:00
221,17-12-18,9:00,11:30,2:30
222,17-12-10,14:00,16:30,2:30
223,17-12-19,19:00,21:30,2:30
224,17-12-11,9:00,11:00,2:00
225,17-12-08,14:00,17:00,3:00
226,17-12-20,14:00,16:00,2:00
227,17-12-18,14:00,17:00,3:00
228,17-12-08,9:00,11:00,2:00
229,17-12-07,19:00,22:00,3:00
230,17-12-09,14:00,16:30,2:30
231,17-12-08,14:00,16:00,2:00
232,17-12-07,14:00,16:30,2:30
233,17-12-19,14:00,16:00,2:00
234,17-12-20,14:00,16:00,2:00
235,17-12-15,19:00,21:30,2:30
236,17-12-12,14:00,16:00,2:00
237,17-12-18,9:00,11:30,2:30
238,17-12-12,14:00,16:30,2:30
239,17-12-13,9:00,12:00,3:00
240,17-12-13,9:00,11:00,2:00
241,17-12-13,9:00,11:00,2:00
242,17-12-12,9:00,12:00,3:00
243,17-12-11,14:00,16:00,2:00
244,17-12-07,9:00,12:00,3:00
245,17-12-18,9:00,12:00,3:00
246,17-12-13,9:00,11:30,2:30
247,17-12-19,9:00,11:00,2:00
248,17-12-20,9:00,11:00,2:00
249,17-12-18,19:00,21:00,2:00
250,17-12-07,9:00,11:00,2:00
251,17-12-11,9:00,11:00,2:00
252,17-12-18,19:00,21:00,2:00
253,17-12-07,9:00,11:00,2:00
254,17-12-07,9:00,11:00,2:00
255,17-12-07,9:00,11:00,2:00
256,17-12-07,9:00,11:00,2:00
257,17-12-09,9:00,11:00,2:00
258,17-12-19,19:00,21:00,2:00
259,17-12-07,9:00,11:00,2:00
260,17-12-14,14:00,17:00,3:00
261,17-12-14,9:00,11:30,2:30
262,17-12-13,14:00,16:00,2:00
263,17-12-08,19:00,21:00,2:00
264,17-12-15,9:00,12:00,3:00
265,17-12-15,14:00,16:00,2:00
266,17-12-19,19:00,22:00,3:00
267,17-12-15,19:00,21:00,2:00
268,17-12-15,19:00,22:00,3:00
269,17-12-09,9:00,11:00,2:00
270,17-12-11,19:00,21:00,2:00
271,17-12-14,9:00,10:20,1:20
272,17-12-16,9:00,11:00,2:00
273,17-12-10,14:00,15:30,1:30
274,17-12-14,14:00,16:00,2:00
275,17-12-15,9:00,12:00,3:00
276,17-12-12,19:00,21:30,2:30
277,17-12-16,19:00,22:00,3:00
278,17-12-11,14:00,16:00,2:00
279,17-12-19,9:00,12:00,3:00
280,17-12-08,14:00,17:00,3:00
281,17-12-14,9:00,12:00,3:00
282,17-12-20,14:00,16:00,2:00
283,17-12-11,14:00,16:00,2:00
284,17-12-13,14:00,17:00,3:00
285,17-12-13,9:00,12:00,3:00
286,17-12-08,19:00,21:00,2:00
287,17-12-07,9:00,12:00,3:00
288,17-12-15,19:00,21:00,2:00
289,17-12-08,14:00,17:00,3:00
290,17-12-18,9:00,12:00,3:00
291,17-12-13,14:00,17:00,3:00
292,17-12-14,9:00,12:00,3:00
293,17-12-19,14:00,17:00,3:00
294,17-12-19,14:00,15:00,1:00
295,17-12-08,19:00,22:00,3:00
296,17-12-07,14:00,16:30,2:30
297,17-12-09,9:00,12:00,3:00
298,17-12-20,9:00,12:00,3:00
299,17-12-15,19:00,22:00,3:00
300,17-12-15,19:00,22:00,3:00
301,17-12-13,14:00,16:00,2:00
302,17-12-20,9:00,11:00,2:00
303,17-12-09,19:00,21:00,2:00
304,17-12-15,14:00,16:00,2:00
305,17-12-14,14:00,16:00,2:00
306,17-12-08,19:00,21:00,2:00
307,17-12-11,14:00,16:00,2:00
308,17-12-07,14:00,16:00,2:00
309,17-12-13,9:00,12:00,3:00
310,17-12-16,9:00,11:00,2:00
311,17-12-19,14:00,16:00,2:00
312,17-12-20,9:00,12:00,3:00
313,17-12-18,9:00,12:00,3:00
314,17-12-08,14:00,17:00,3:00
315,17-12-18,14:00,16:00,2:00
316,17-12-15,9:00,11:00,2:00
317,17-12-14,14:00,16:00,2:00
318,17-12-16,9:00,11:00,2:00
319,17-12-16,9:00,11:00,2:00
320,17-12-18,14:00,16:00,2:00
321,17-12-10,14:00,17:00,3:00
322,17-12-14,9:00,12:00,3:00
323,17-12-11,9:00,11:00,2:00
324,17-12-18,14:00,16:00,2:00
325,17-12-12,19:00,21:00,2:00
326,17-12-16,19:00,21:00,2:00
327,17-12-07,14:00,16:30,2:30
328,17-12-16,9:00,11:00,2:00
329,17-12-14,9:00,11:45,2:45
330,17-12-18,9:00,11:00,2:00
331,17-12-12,14:00,16:30,2:30
332,17-12-13,19:00,21:30,2:30
333,17-12-13,9:00,11:00,2:00
334,17-12-13,14:00,16:00,2:00
335,17-12-16,14:00,16:00,2:00
336,17-12-18,19:00,21:00,2:00
337,17-12-11,14:00,16:00,2:00
338,17-12-07,9:00,12:00,3:00
339,17-12-20,9:00,11:00,2:00
340,17-12-14,19:00,21:00,2:00
341,17-12-09,19:00,22:00,3:00
342,17-12-19,19:00,21:00,2:00
343,17-12-18,9:00,12:00,3:00
344,17-12-07,14:00,17:00,3:00
345,17-12-12,19:00,21:00,2:00
346,17-12-15,14:00,17:00,3:00
347,17-12-15,9:00,11:00,2:00
348,17-12-19,19:00,21:00,2:00
349,17-12-20,14:00,17:00,3:00
350,17-12-13,9:00,11:00,2:00
351,17-12-08,14:00,17:00,3:00
352,17-12-13,14:00,16:00,2:00
353,17-12-18,14:00,16:00,2:00
354,17-12-07,9:00,11:30,2:30
355,17-12-10,14:00,16:00,2:00
356,17-12-14,9:00,12:00,3:00
357,17-12-07,19:00,22:00,3:00
358,17-12-18,14:00,16:00,2:00
359,17-12-12,14:00,17:00,3:00
360,17-12-11,14:00,17:00,3:00
361,17-12-07,19:00,22:00,3:00
362,17-12-15,14:00,16:00,2:00
363,17-12-07,9:00,12:00,3:00
364,17-12-07,9:00,12:00,3:00
365,17-12-12,9:00,12:00,3:00
366,17-12-13,19:00,22:00,3:00
367,17-12-13,9:00,12:00,3:00
368,17-12-07,9:00,12:00,3:00
369,17-12-08,14:00,17:00,3:00
370,17-12-11,14:00,17:00,3:00
371,17-12-16,9:00,12:00,3:00
372,17-12-08,19:00,22:00,3:00
373,17-12-13,9:00,12:00,3:00
374,17-12-19,14:00,17:00,3:00
375,17-12-18,14:00,16:00,2:00
376,17-12-15,14:00,16:00,2:00
377,17-12-19,14:00,15:00,1:00
378,17-12-15,14:00,16:00,2:00
379,17-12-16,19:00,21:00,2:00
380,17-12-08,14:00,16:00,2:00
381,17-12-16,14:00,16:00,2:00
382,17-12-12,14:00,16:00,2:00
383,17-12-07,19:00,21:00,2:00
384,17-12-19,14:00,16:00,2:00
385,17-12-07,14:00,17:00,3:00
386,17-12-18,14:00,16:00,2:00
387,17-12-10,14:00,16:00,2:00
388,17-12-09,9:00,11:00,2:00
389,17-12-18,9:00,12:00,3:00
390,17-12-11,9:00,11:00,2:00
391,17-12-12,19:00,22:00,3:00
